id,name,lat,lon,alt
3060525655,Street Unknown road,50.8674252,4.6988278,9.69
1132625517,Street Unknown road,50.8674369,4.6988385,10.84
3060525656,Street Unknown road,50.8674677,4.6987572,17.58
1132625530,Street Unknown road,50.8674928,4.698691,27.01
3060525657,Street Unknown road,50.8674569,4.6987466,7.44
1132625492,Street Unknown road,50.8674115,4.6986105,38.34
1132625443,Street Unknown road,50.8673828,4.6986454,35.34
1132625495,Street Unknown road,50.8673489,4.6986534,47.5
1132625469,Street Unknown road,50.8673134,4.6986508,41.25
1132625418,Intersection Unknown road & Erasme Ruelenspark,50.8672615,4.6986538,27.08
3060530261,Intersection Unknown road & Erasme Ruelenspark,50.8672665,4.6987685,17.47
12974725586,Street Erasme Ruelenspark,50.8672583,4.6985835,33.12
249438690,Street Erasme Ruelenspark,50.8672689,4.698821,41.49
3060530262,Street Unknown road,50.867147,4.6987368,7.28
5437074483,Street Erasme Ruelenspark,50.8672595,4.6985585,9.24
249438689,Street Erasme Ruelenspark,50.8672783,4.6990334,31.65
12974725587,Street Erasme Ruelenspark,50.8672624,4.6985348,8.55
11865635920,Street Erasme Ruelenspark,50.8672784,4.6991168,47.72
16658368,Street Erasme Ruelenspark,50.8672671,4.6985119,45.46
12974725585,Street Erasme Ruelenspark,50.867277,4.6991497,31.33
12974725588,Street Erasme Ruelenspark,50.8673545,4.698223,24.58
203237412,Street Erasme Ruelenspark,50.8672737,4.6991748,25.07
12974725589,Street Erasme Ruelenspark,50.8673639,4.6982003,15.62
12974725584,Street Erasme Ruelenspark,50.867267,4.699204,28.95
5437074482,Street Erasme Ruelenspark,50.8673744,4.6981827,13.52
324434864,Intersection Unknown road & Erasme Ruelenspark,50.8672562,4.6992349,45.97
12974725590,Street Erasme Ruelenspark,50.8673877,4.6981666,23.3
11865635921,Street Erasme Ruelenspark,50.8672265,4.6992889,14.72
324434865,Street Unknown road,50.8673838,4.6993588,13.86
3056167886,Street Unknown road,50.8672248,4.6992211,43.28
16571284,Street Erasme Ruelenspark,50.8674014,4.6981553,18.42
1132625527,Street Erasme Ruelenspark,50.8671947,4.699329,15.43
3058147551,Street Unknown road,50.8674331,4.6992261,26.54
1352416334,Street Unknown road,50.8673457,4.6994566,7.86
3056167887,Street Unknown road,50.8671704,4.6991913,23.28
1088372913,Intersection Unknown road & Erasme Ruelenspark,50.8675107,4.6981086,35.29
1132625471,Intersection Unknown road & Erasme Ruelenspark,50.8670285,4.6994798,28.62
324434866,Street Unknown road,50.8674414,4.6992038,47.58
3058147552,Street Unknown road,50.867424,4.6992183,11.04
3058147540,Street Unknown road,50.8673319,4.6994921,5.74
615421594,Street Unknown road,50.8671459,4.6991778,44.85
1098529539,Street Erasme Ruelenspark,50.8676077,4.6980673,14.0
1088372882,Street Unknown road,50.8676705,4.6984068,45.46
1132625505,Street Unknown road,50.8670047,4.6995387,21.56
1132625429,Street Erasme Ruelenspark,50.8669127,4.6995721,31.24
324434868,Street Unknown road,50.8675563,4.699312,10.2
1088372891,Street Unknown road,50.8674647,4.6991415,28.99
3058147542,Street Unknown road,50.867297,4.6995815,6.68
3058147539,Street Unknown road,50.8673212,4.6994817,11.86
615421599,Street Unknown road,50.8670525,4.6992808,49.01
1132625407,Street Unknown road,50.8670645,4.6990477,17.02
1098529545,Intersection Unknown road & Erasme Ruelenspark,50.8676768,4.698006,47.43
1088372836,Street Unknown road,50.8677344,4.6984706,9.02
3060525661,Street Unknown road,50.8677076,4.6985397,10.98
3056518846,Street Unknown road,50.866861,4.6998984,21.37
1132625444,Street Unknown road,50.8671187,4.6996459,10.63
1098529543,Intersection Unknown road & Erasme Ruelenspark,50.8668184,4.6996176,49.94
3058147555,Street Unknown road,50.8676006,4.6991951,49.58
3060525912,Street Unknown road,50.8675188,4.6994062,38.97
3058147547,Street Unknown road,50.867457,4.6991339,21.06
3058147544,Street Unknown road,50.867262,4.6996712,39.57
3058147541,Street Unknown road,50.8672863,4.6995711,40.3
1226107480,Street Unknown road,50.8669677,4.6992788,47.71
1132625528,Street Unknown road,50.8667615,4.699028,34.54
203236151,Street Unknown road,50.8677949,4.6980988,32.2
8710221916,Street Unknown road,50.8675738,4.6979251,8.12
1088372843,Street Unknown road,50.8678449,4.6985811,9.45
3060525658,Street Unknown road,50.8676375,4.6987203,18.45
615422306,Street Unknown road,50.8668232,4.6999931,41.0
3056518847,Street Unknown road,50.8668454,4.6998836,45.01
1352416330,Street Unknown road,50.8670974,4.6997012,17.28
3056518844,Street Unknown road,50.8667042,4.6998897,31.08
615421598,Intersection Unknown road & Erasme Ruelenspark,50.8667492,4.6996466,22.98
324434869,Street Unknown road,50.867609,4.6991729,30.53
3058147556,Street Unknown road,50.867591,4.6991854,5.54
3058147549,Street Unknown road,50.8675088,4.6994315,33.9
3060525913,Street Unknown road,50.8676289,4.6995076,48.04
3058147546,Street Unknown road,50.8672291,4.6997556,23.85
3058147543,Street Unknown road,50.8672513,4.6996606,35.07
1226107497,Street Unknown road,50.8669684,4.699335,33.44
3070613948,Street Unknown road,50.8667607,4.6990491,45.52
1098517370,Street Unknown road,50.8679236,4.6981999,13.98
5435644349,Street Unknown road,50.867827,4.6980035,43.16
1098517477,Street Unknown road,50.8674597,4.6978355,34.67
8710221915,Street Unknown road,50.8676292,4.697773,46.13
3060525665,Street Unknown road,50.8678178,4.6986517,49.85
1088372867,Street Unknown road,50.8676053,4.6988033,31.12
3060525659,Street Unknown road,50.8676238,4.6987067,41.06
3056518845,Street Unknown road,50.8668075,4.6999806,7.85
1088372857,Street Unknown road,50.8672073,4.6998115,46.06
3056518849,Street Unknown road,50.8670906,4.6997189,39.47
1098529549,Street Unknown road,50.8666752,4.6999626,29.47
3056518843,Street Unknown road,50.8666906,4.6998769,46.74
615421597,Street Unknown road,50.8667551,4.6993304,25.01
1132625428,Intersection Unknown road & Erasme Ruelenspark,50.8664734,4.6997682,48.34
1352416337,Street Unknown road,50.8676449,4.6992065,37.87
3058147553,Street Unknown road,50.8676327,4.6991099,37.09
1639562279,Street Unknown road,50.867474,4.6995189,35.3
3058147550,Street Unknown road,50.867499,4.6994211,11.44
3060525916,Street Unknown road,50.8676515,4.6994525,14.86
3058147545,Street Unknown road,50.8672183,4.6997451,44.82
11862904190,Street Unknown road,50.8678337,4.6979831,14.82
3060525663,Street Unknown road,50.8677839,4.6987403,34.16
3060525666,Street Unknown road,50.8678048,4.6986377,8.02
3060525660,Street Unknown road,50.8675913,4.6987899,35.98
3056518851,Street Unknown road,50.8670604,4.699797,7.53
3056518850,Street Unknown road,50.8670772,4.699707,33.47
3056518842,Street Unknown road,50.8666615,4.6999515,8.24
1226107463,Street Unknown road,50.866596,4.6993236,33.62
1635684380,Street Unknown road,50.8667545,4.6993124,33.16
3056518841,Street Unknown road,50.8663122,4.699613,17.74
1132625430,Intersection Unknown road & Erasme Ruelenspark,50.8663879,4.6998066,26.16
7730481245,Street Unknown road,50.8680605,4.6991964,24.52
12088515203,Street Unknown road,50.867715,4.6992791,9.62
3058147554,Street Unknown road,50.8676238,4.6991016,10.4
3058147548,Street Unknown road,50.8674648,4.6995086,24.17
3060525914,Street Unknown road,50.8676856,4.6993695,26.13
3060525917,Street Unknown road,50.8676428,4.6994452,13.21
11862904189,Street Unknown road,50.867844,4.6979521,35.65
3060525664,Street Unknown road,50.8677688,4.69873,42.08
3056518853,Street Unknown road,50.8670231,4.6998936,23.41
3056518852,Street Unknown road,50.867047,4.6997844,11.05
615421595,Street Unknown road,50.8664829,4.6992624,34.47
3056518840,Street Unknown road,50.8662782,4.6997,15.91
1352416322,Street Erasme Ruelenspark,50.8662526,4.6998675,27.42
615403424,Intersection Erasme Ruelensvest & Unknown road,50.8681423,4.6992364,31.29
3060525915,Street Unknown road,50.8676757,4.6993609,27.85
5460144116,Intersection Unknown road & Naamsesteenweg,50.8678711,4.6978699,43.92
11863011397,Street Unknown road,50.8679097,4.6980044,46.84
